Unnamed:0;customer_zip_code_prefix;geolocation_lat;geolocation_lng;geolocation_city;geolocation_state;quantidade;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;1;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;2;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;3;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;4;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;5;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;6;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;7;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;8;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;9;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;10;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;11;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;12;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;13;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;14;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;15;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;16;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;17;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;18;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;19;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;20;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;21;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;22;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;23;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;24;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;25;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;26;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;27;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;28;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;29;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;30;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;31;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;32;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;33;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;34;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;35;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;36;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;37;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;38;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;39;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;40;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;41;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;42;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;43;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;44;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;45;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;46;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;47;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;48;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;49;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;50;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;51;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;52;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;53;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;54;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;55;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;56;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;57;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;58;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;59;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;60;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;61;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;62;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;63;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;64;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;65;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;66;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;67;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;68;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;69;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;70;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;71;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;72;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;73;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;74;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;75;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;76;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;77;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;78;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;79;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;80;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;81;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;82;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;83;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;84;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;85;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;86;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;87;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;88;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;89;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;90;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;91;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;92;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;93;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;94;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;95;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;96;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;97;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;98;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;99;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;100;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;101;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;102;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;103;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;104;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;105;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;106;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;107;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;108;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;109;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;110;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;111;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;112;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;113;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;114;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;115;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;116;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;117;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;118;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;119;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;120;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;121;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;122;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;123;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;124;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;125;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;126;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;127;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;128;
0;1003;-2.354.903.244.546.710;-4.663.531.311.226.840;sao paulo;SP;129;
